Institution,Department
Oxford:Oncology,44
Oxford:NDM,40
Oxford:RDM,30
Oxford:Biochemistry,19
Oxford:Nuffield Department of Population Health,14
Oxford:Physiology Anatomy & Genetics,11
Oxford:Pathology Dunn School,11
Oxford:NDORMS,9
Oxford:Chemistry,8
Oxford:Clinical Neurosciences,6
Oxford:Surgical Sciences,6
Oxford:Obstetrics & Gynaecology,5
Oxford:Engineering Science,3
Oxford:Primary Care,3
Oxford:Mathematical Institute,2
Oxford:Pharmacology,2
Oxford:Zoology,1
Oxford:Gray Cancer Institute,1
Oxford:02 Medical Sciences Division,1
Oxford:Statistics,1
Oxford:Physics,1
